agent,game,seed,score,max_tile,moves,corner_occupancy,snake_score
DQN,91,10090,1196,64,136,0.0,0.6629411349352958
DQN,92,10091,1752,128,178,0.5617977528089888,0.6794180416405332
DQN,93,10092,976,64,118,2.542372881355932,0.666564233771597
DQN,94,10093,792,64,105,4.761904761904762,0.6615104309943328
DQN,95,10094,1384,128,140,1.4285714285714286,0.6625491955546049
DQN,96,10095,684,64,96,0.0,0.6648103816614338
DQN,97,10096,2248,256,189,0.0,0.6622261502095108
DQN,98,10097,536,64,79,0.0,0.6193970839990951
DQN,99,10098,988,64,122,0.0,0.6572423718431851
DQN,100,10099,872,64,114,0.0,0.7082277136256652
DQN_compare,1,10000,1160,128,128,97.65625,0.8241716556258118
DQN_compare,2,10001,604,64,81,24.691358024691358,0.7894516378040883
DQN_compare,3,10002,3308,256,273,99.63369963369964,0.8515566993993909
DQN_compare,4,10003,1372,128,140,100.0,0.8051368595508464
DQN_compare,5,10004,1180,128,128,97.65625,0.8531181147196832
DQN_compare,6,10005,792,64,106,100.0,0.811822135904565
DQN_compare,7,10006,3220,256,277,82.67148014440433,0.8468447973630899
DQN_compare,8,10007,1364,128,143,0.0,0.7868460499058122
